PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"80, 10.5, 55","−5,774.50 USD",−0.58%,"6,810.00 USD",0.68%,12,16.67%,0.039,0,,0
"80, 10.5, 65","−3,065.00 USD",−0.30%,"6,810.00 USD",0.68%,12,16.67%,0.039,0,,0
"80, 10.5, 75","−3,561.00 USD",−0.35%,"6,858.50 USD",0.69%,13,15.38%,0.037,0,,0
"80, 10.5, 85","−3,599.50 USD",−0.36%,"6,858.50 USD",0.69%,13,15.38%,0.037,0,,0
"80, 10.5, 95","−3,531.50 USD",−0.35%,"7,008.50 USD",0.70%,14,14.29%,0.026,0,,0
"80, 11, 105",−941.00 USD,−0.09%,980.00 USD,0.10%,16,25.00%,0.248,0,,0
"80, 11, 115","−1,100.00 USD",−0.11%,"1,139.00 USD",0.11%,17,29.41%,0.268,0,,0
"80, 11, 125",−522.00 USD,−0.05%,977.00 USD,0.10%,14,35.71%,0.533,0,,0
"80, 11, 135",−638.00 USD,−0.06%,"1,114.00 USD",0.11%,15,33.33%,0.477,0,,0
"80, 11, 145",−916.00 USD,−0.09%,"1,392.00 USD",0.14%,16,31.25%,0.389,0,,0
"80, 11, 25","−5,135.00 USD",−0.51%,"6,237.00 USD",0.62%,4,50.00%,0.014,0,,0
"80, 11, 35","−5,335.00 USD",−0.53%,"6,237.00 USD",0.62%,7,28.57%,0.013,0,,0
"80, 11, 45","−5,429.50 USD",−0.54%,"6,331.50 USD",0.63%,8,25.00%,0.013,0,,0
"80, 11, 55",−461.00 USD,−0.05%,523.50 USD,0.05%,9,22.22%,0.135,0,,0
"80, 11, 65",−585.00 USD,−0.06%,624.00 USD,0.06%,10,20.00%,0.11,0,,0
"80, 11, 75",−689.50 USD,−0.07%,728.50 USD,0.07%,11,18.18%,0.095,0,,0
"80, 11, 85",−831.00 USD,−0.08%,870.00 USD,0.09%,13,23.08%,0.108,0,,0
"80, 11, 95",−941.50 USD,−0.09%,980.50 USD,0.10%,14,21.43%,0.096,0,,0
"80, 11.5, 105","−1,474.00 USD",−0.15%,"1,513.00 USD",0.15%,16,31.25%,0.182,0,,0
"80, 11.5, 115","−1,573.00 USD",−0.16%,"1,612.00 USD",0.16%,16,31.25%,0.173,0,,0
"80, 11.5, 125","−1,336.00 USD",−0.13%,"1,341.00 USD",0.13%,11,27.27%,0.17,0,,0
"80, 11.5, 135","−1,367.00 USD",−0.14%,"1,372.00 USD",0.14%,11,27.27%,0.167,0,,0
"80, 11.5, 145","−1,516.50 USD",−0.15%,"1,521.50 USD",0.15%,11,27.27%,0.153,0,,0
"80, 11.5, 25","−1,143.00 USD",−0.11%,"1,229.50 USD",0.12%,4,0.00%,0,0,,0
"80, 11.5, 35",−841.50 USD,−0.08%,940.00 USD,0.09%,6,16.67%,0.014,0,,0
"80, 11.5, 45",−923.00 USD,−0.09%,"1,021.50 USD",0.10%,8,25.00%,0.148,0,,0
"80, 11.5, 55","−1,755.50 USD",−0.18%,"1,794.50 USD",0.18%,11,18.18%,0.094,0,,0
"80, 11.5, 65","−1,690.00 USD",−0.17%,"1,729.00 USD",0.17%,13,30.77%,0.132,0,,0
"80, 11.5, 75","−1,652.50 USD",−0.17%,"1,691.50 USD",0.17%,15,33.33%,0.191,0,,0
"80, 11.5, 85","−1,234.50 USD",−0.12%,"1,273.50 USD",0.13%,16,31.25%,0.24,0,,0
"80, 11.5, 95","−1,327.50 USD",−0.13%,"1,366.50 USD",0.14%,16,31.25%,0.227,0,,0
"80, 12, 105",−205.50 USD,−0.02%,884.50 USD,0.09%,15,26.67%,0.873,0,,0
"80, 12, 115",−651.50 USD,−0.07%,"1,309.50 USD",0.13%,16,25.00%,0.684,0,,0
"80, 12, 125",−706.00 USD,−0.07%,837.50 USD,0.08%,12,25.00%,0.571,0,,0
"80, 12, 135",−706.00 USD,−0.07%,837.50 USD,0.08%,12,25.00%,0.571,0,,0
"80, 12, 145",−706.00 USD,−0.07%,837.50 USD,0.08%,12,25.00%,0.571,0,,0
"80, 12, 25","+2,043.50 USD",+0.20%,719.00 USD,0.07%,5,40.00%,6.399,0,,0
"80, 12, 35","+2,433.00 USD",+0.24%,719.00 USD,0.07%,7,42.86%,6.455,0,,0
"80, 12, 45","+2,433.00 USD",+0.24%,719.00 USD,0.07%,7,42.86%,6.455,0,,0
"80, 12, 55","+2,388.00 USD",+0.24%,719.00 USD,0.07%,7,42.86%,5.864,0,,0
"80, 12, 65","+1,889.00 USD",+0.19%,719.00 USD,0.07%,7,42.86%,4.615,0,,0
"80, 12, 75",+502.50 USD,+0.05%,597.50 USD,0.06%,9,33.33%,1.598,0,,0
"80, 12, 85",+485.50 USD,+0.05%,684.00 USD,0.07%,11,36.36%,1.523,0,,0
"80, 12, 95",+170.00 USD,+0.02%,790.00 USD,0.08%,13,30.77%,1.137,0,,0
"80, 12.5, 105","+2,287.50 USD",+0.23%,"1,023.00 USD",0.10%,10,30.00%,3.304,0,,0
"80, 12.5, 115","+2,093.50 USD",+0.21%,"1,217.00 USD",0.12%,12,25.00%,2.764,0,,0
"80, 12.5, 125",−732.50 USD,−0.07%,"1,199.50 USD",0.12%,11,18.18%,0.374,0,,0
"80, 12.5, 135",−764.00 USD,−0.08%,"1,231.00 USD",0.12%,11,18.18%,0.364,0,,0
"80, 12.5, 145","−1,038.00 USD",−0.10%,"1,505.00 USD",0.15%,12,16.67%,0.296,0,,0
"80, 12.5, 25","+1,348.00 USD",+0.13%,68.00 USD,0.01%,2,50.00%,20.97,0,,0
"80, 12.5, 35",+867.50 USD,+0.09%,952.50 USD,0.10%,5,20.00%,2.583,0,,0
"80, 12.5, 45",+733.50 USD,+0.07%,"1,086.50 USD",0.11%,6,16.67%,2.076,0,,0
"80, 12.5, 55","+4,393.50 USD",+0.44%,"1,257.00 USD",0.13%,8,37.50%,8.485,0,,0
"80, 12.5, 65","+2,209.00 USD",+0.22%,"1,101.50 USD",0.11%,7,28.57%,4.169,0,,0
"80, 12.5, 75","+2,087.50 USD",+0.21%,"1,223.00 USD",0.12%,8,25.00%,3.55,0,,0
"80, 12.5, 85","+2,355.00 USD",+0.24%,955.50 USD,0.10%,10,30.00%,3.545,0,,0
"80, 12.5, 95","+2,355.00 USD",+0.24%,955.50 USD,0.10%,10,30.00%,3.545,0,,0
"80, 13, 105",+385.00 USD,+0.04%,"1,478.50 USD",0.15%,15,33.33%,1.342,0,,0
"80, 13, 115","+1,538.00 USD",+0.15%,"1,477.00 USD",0.15%,15,33.33%,2.273,0,,0
"80, 13, 125","−3,392.50 USD",−0.34%,"6,361.00 USD",0.64%,13,30.77%,0.285,0,,0
"80, 13, 135",+326.00 USD,+0.03%,"1,377.50 USD",0.14%,13,30.77%,1.319,0,,0
"80, 13, 145","−1,113.00 USD",−0.11%,"1,517.50 USD",0.15%,13,15.38%,0.202,0,,0
"80, 13, 25",+373.00 USD,+0.04%,"2,448.00 USD",0.24%,7,42.86%,1.367,0,,0
"80, 13, 35",+478.00 USD,+0.05%,"2,503.00 USD",0.25%,9,44.44%,1.446,0,,0
"80, 13, 45",−675.50 USD,−0.07%,"2,503.00 USD",0.25%,9,33.33%,0.376,0,,0
"80, 13, 55",−779.00 USD,−0.08%,"2,552.00 USD",0.26%,10,30.00%,0.318,0,,0
"80, 13, 65",+109.50 USD,+0.01%,"2,503.00 USD",0.25%,12,33.33%,1.083,0,,0
"80, 13, 75",+76.00 USD,+0.01%,"2,536.50 USD",0.25%,12,33.33%,1.056,0,,0
"80, 13, 85",+76.00 USD,+0.01%,"2,536.50 USD",0.25%,12,33.33%,1.056,0,,0
"80, 13, 95",−77.50 USD,−0.01%,"2,536.50 USD",0.25%,14,35.71%,0.951,0,,0
"80, 13.5, 105","−1,015.00 USD",−0.10%,"1,189.50 USD",0.12%,12,16.67%,0.242,0,,0
"80, 13.5, 115","−1,075.00 USD",−0.11%,"1,249.50 USD",0.12%,12,16.67%,0.231,0,,0
"80, 13.5, 125",−905.00 USD,−0.09%,"1,079.50 USD",0.11%,11,18.18%,0.263,0,,0
"80, 13.5, 135",−905.00 USD,−0.09%,"1,079.50 USD",0.11%,11,18.18%,0.263,0,,0
"80, 13.5, 145",−913.00 USD,−0.09%,"1,087.50 USD",0.11%,12,25.00%,0.31,0,,0
"80, 13.5, 25",+56.50 USD,+0.01%,96.00 USD,0.01%,3,33.33%,2.087,0,,0
"80, 13.5, 35",+37.50 USD,+0.00%,115.00 USD,0.01%,3,33.33%,1.528,0,,0
"80, 13.5, 45",−357.00 USD,−0.04%,509.50 USD,0.05%,6,16.67%,0.233,0,,0
"80, 13.5, 55",−180.00 USD,−0.02%,586.50 USD,0.06%,8,25.00%,0.668,0,,0
"80, 13.5, 65",−219.00 USD,−0.02%,600.00 USD,0.06%,8,25.00%,0.596,0,,0
"80, 13.5, 75",−481.50 USD,−0.05%,656.00 USD,0.07%,9,22.22%,0.402,0,,0
"80, 13.5, 85",−481.50 USD,−0.05%,656.00 USD,0.07%,9,22.22%,0.402,0,,0
"80, 13.5, 95","−1,004.50 USD",−0.10%,"1,179.00 USD",0.12%,12,16.67%,0.244,0,,0
"80, 14, 105","+1,544.50 USD",+0.15%,653.00 USD,0.07%,18,44.44%,2.789,0,,0
"80, 14, 115","+1,214.00 USD",+0.12%,983.50 USD,0.10%,19,36.84%,2.062,0,,0
"80, 14, 125","+1,109.50 USD",+0.11%,"1,057.50 USD",0.11%,22,31.82%,1.761,0,,0
"80, 14, 135",+907.50 USD,+0.09%,"1,259.50 USD",0.13%,22,27.27%,1.608,0,,0
"80, 14, 145",+851.50 USD,+0.09%,"1,315.50 USD",0.13%,22,27.27%,1.55,0,,0
"80, 14, 25","+2,037.50 USD",+0.20%,220.00 USD,0.02%,4,50.00%,30.963,0,,0
"80, 14, 35","+2,044.00 USD",+0.20%,220.00 USD,0.02%,5,60.00%,31.059,0,,0
"80, 14, 45","+1,906.00 USD",+0.19%,344.50 USD,0.03%,7,57.14%,10.186,0,,0
"80, 14, 55","+1,987.50 USD",+0.20%,258.00 USD,0.03%,10,60.00%,9.953,0,,0
"80, 14, 65","+1,836.00 USD",+0.18%,360.50 USD,0.04%,13,53.85%,5.187,0,,0
"80, 14, 75","+1,820.00 USD",+0.18%,366.50 USD,0.04%,16,50.00%,4.291,0,,0
"80, 14, 85","+1,728.00 USD",+0.17%,458.50 USD,0.05%,16,50.00%,3.819,0,,0
"80, 14, 95","+1,559.50 USD",+0.16%,627.00 USD,0.06%,17,47.06%,2.996,0,,0
"80, 14.5, 105",−516.50 USD,−0.05%,951.50 USD,0.10%,12,25.00%,0.424,0,,0
"80, 14.5, 115",−793.00 USD,−0.08%,"1,228.00 USD",0.12%,14,28.57%,0.348,0,,0
"80, 14.5, 125","−1,192.00 USD",−0.12%,"1,281.50 USD",0.13%,15,33.33%,0.135,0,,0
"80, 14.5, 135","−1,284.50 USD",−0.13%,"1,374.00 USD",0.14%,15,26.67%,0.113,0,,0
"80, 14.5, 145","−1,353.50 USD",−0.14%,"1,443.00 USD",0.14%,15,26.67%,0.108,0,,0
"80, 14.5, 25",−304.00 USD,−0.03%,401.50 USD,0.04%,6,16.67%,0.151,0,,0
"80, 14.5, 35",−315.50 USD,−0.03%,413.00 USD,0.04%,6,16.67%,0.146,0,,0
"80, 14.5, 45",−148.00 USD,−0.01%,647.00 USD,0.06%,10,30.00%,0.75,0,,0
"80, 14.5, 65",−230.50 USD,−0.02%,710.00 USD,0.07%,10,30.00%,0.648,0,,0
"80, 14.5, 75",−291.50 USD,−0.03%,745.50 USD,0.07%,10,30.00%,0.578,0,,0
"80, 14.5, 85",−359.00 USD,−0.04%,813.00 USD,0.08%,11,27.27%,0.526,0,,0
"80, 14.5, 95",−397.00 USD,−0.04%,832.00 USD,0.08%,11,27.27%,0.489,0,,0
"80, 15, 105","−1,854.50 USD",−0.18%,"9,955.50 USD",1.00%,12,25.00%,0.235,0,,0
"80, 15, 115","−1,845.00 USD",−0.18%,"10,001.00 USD",1.00%,12,8.33%,0.222,0,,0
"80, 15, 125","+4,798.50 USD",+0.48%,564.50 USD,0.06%,9,11.11%,2.551,0,,0
"80, 15, 135","+4,495.50 USD",+0.45%,564.50 USD,0.06%,9,11.11%,2.509,0,,0
"80, 15, 145","+4,835.50 USD",+0.48%,564.50 USD,0.06%,9,11.11%,2.497,0,,0
"80, 15, 25","−10,441.50 USD",−1.04%,"10,929.00 USD",1.09%,3,0.00%,0,0,,0
"80, 15, 35","−6,892.00 USD",−0.69%,"10,929.00 USD",1.09%,7,14.29%,0.002,0,,0
"80, 15, 45","−7,058.50 USD",−0.70%,"10,946.50 USD",1.09%,7,14.29%,0.002,0,,0
"80, 15, 55","−6,780.50 USD",−0.67%,"10,956.50 USD",1.10%,9,22.22%,0.007,0,,0
"80, 15, 65","−1,099.50 USD",−0.11%,"9,910.50 USD",0.99%,10,30.00%,0.4,0,,0
"80, 15, 75","−2,541.50 USD",−0.25%,"9,910.50 USD",0.99%,11,27.27%,0.239,0,,0
"80, 15, 85","−2,399.50 USD",−0.24%,"9,930.00 USD",0.99%,11,27.27%,0.237,0,,0
"80, 15, 95","−2,140.50 USD",−0.21%,"9,930.00 USD",0.99%,11,27.27%,0.237,0,,0
"80, 15.5, 105","+2,693.50 USD",+0.27%,"1,235.50 USD",0.12%,7,0.00%,0,0,,0
"80, 15.5, 115","+2,866.50 USD",+0.29%,"1,255.00 USD",0.13%,7,0.00%,0,0,,0
"80, 15.5, 125","+2,696.00 USD",+0.27%,"1,268.50 USD",0.13%,8,12.50%,0.101,0,,0
"80, 15.5, 135","+2,398.00 USD",+0.24%,"1,293.00 USD",0.13%,8,12.50%,0.099,0,,0
"80, 15.5, 145","+4,646.00 USD",+0.46%,955.00 USD,0.10%,8,25.00%,1.791,0,,0
"80, 15.5, 25",−430.50 USD,−0.04%,532.50 USD,0.05%,3,0.00%,0,0,,0
"80, 15.5, 35",−459.50 USD,−0.05%,561.50 USD,0.06%,3,0.00%,0,0,,0
"80, 15.5, 45",−498.50 USD,−0.05%,600.50 USD,0.06%,4,0.00%,0,0,,0
"80, 15.5, 55",−564.50 USD,−0.06%,666.50 USD,0.07%,4,0.00%,0,0,,0
"80, 15.5, 65",−627.50 USD,−0.06%,729.50 USD,0.07%,5,0.00%,0,0,,0
"80, 15.5, 75",−731.00 USD,−0.07%,833.00 USD,0.08%,6,0.00%,0,0,,0
"80, 15.5, 85","−1,017.50 USD",−0.10%,"1,119.50 USD",0.11%,7,0.00%,0,0,,0
"80, 15.5, 95","+2,443.50 USD",+0.24%,"1,126.00 USD",0.11%,7,0.00%,0,0,,0
"80, 16, 105",−637.00 USD,−0.06%,739.00 USD,0.07%,7,14.29%,0.303,0,,0
"80, 16, 115",−683.00 USD,−0.07%,785.00 USD,0.08%,7,14.29%,0.289,0,,0
"80, 16, 125",−233.50 USD,−0.02%,453.00 USD,0.05%,6,33.33%,0.587,0,,0
"80, 16, 135",−266.00 USD,−0.03%,485.50 USD,0.05%,6,33.33%,0.555,0,,0
"80, 16, 145","+3,551.00 USD",+0.36%,683.00 USD,0.07%,6,33.33%,0.417,0,,0
"80, 16, 25",−140.00 USD,−0.01%,140.00 USD,0.01%,2,0.00%,0,0,,0
"80, 16, 35",−203.00 USD,−0.02%,203.00 USD,0.02%,3,0.00%,0,0,,0
"80, 16, 45",−583.50 USD,−0.06%,583.50 USD,0.06%,5,0.00%,0,0,,0
"80, 16, 55",−623.00 USD,−0.06%,623.00 USD,0.06%,5,0.00%,0,0,,0
"80, 16, 65",−366.50 USD,−0.04%,574.50 USD,0.06%,6,16.67%,0.43,0,,0
"80, 16, 75",−445.50 USD,−0.04%,653.50 USD,0.07%,6,16.67%,0.383,0,,0
"80, 16, 85",−605.50 USD,−0.06%,707.50 USD,0.07%,7,14.29%,0.314,0,,0
"80, 16, 95",−605.50 USD,−0.06%,707.50 USD,0.07%,7,14.29%,0.314,0,,0
"80, 16.5, 105",−617.50 USD,−0.06%,617.50 USD,0.06%,4,0.00%,0,0,,0
"80, 16.5, 115",−759.00 USD,−0.08%,759.00 USD,0.08%,5,0.00%,0,0,,0
"80, 16.5, 125",−392.50 USD,−0.04%,392.50 USD,0.04%,3,0.00%,0,0,,0
"80, 16.5, 135",−670.50 USD,−0.07%,772.50 USD,0.08%,5,0.00%,0,0,,0
"80, 16.5, 145",−670.50 USD,−0.07%,772.50 USD,0.08%,5,0.00%,0,0,,0
"80, 16.5, 25",−38.50 USD,0.00%,47.00 USD,0.00%,1,0.00%,0,0,,0
"80, 16.5, 35",−38.50 USD,0.00%,47.00 USD,0.00%,1,0.00%,0,0,,0
"80, 16.5, 45",−100.00 USD,−0.01%,105.00 USD,0.01%,2,0.00%,0,0,,0
"80, 16.5, 55",−135.00 USD,−0.01%,140.00 USD,0.01%,2,0.00%,0,0,,0
"80, 16.5, 65",−147.50 USD,−0.01%,152.50 USD,0.02%,2,0.00%,0,0,,0
"80, 16.5, 75",−402.50 USD,−0.04%,407.50 USD,0.04%,3,0.00%,0,0,,0
"80, 16.5, 85",−507.50 USD,−0.05%,507.50 USD,0.05%,4,0.00%,0,0,,0
"80, 16.5, 95",−578.50 USD,−0.06%,578.50 USD,0.06%,4,0.00%,0,0,,0
"80, 17, 105",−476.00 USD,−0.05%,"1,204.50 USD",0.12%,12,25.00%,0.492,0,,0
"80, 17, 115",−562.50 USD,−0.06%,"1,291.00 USD",0.13%,12,25.00%,0.45,0,,0
"80, 17, 125","−4,995.50 USD",−0.50%,"6,808.50 USD",0.68%,8,12.50%,0.006,0,,0
"80, 17, 135","−4,995.50 USD",−0.50%,"6,808.50 USD",0.68%,8,12.50%,0.006,0,,0
"80, 17, 145","−5,280.50 USD",−0.53%,"6,808.50 USD",0.68%,9,11.11%,0.005,0,,0
"80, 17, 25",+813.00 USD,+0.08%,246.50 USD,0.02%,4,50.00%,7.254,0,,0
"80, 17, 35",−155.50 USD,−0.02%,174.50 USD,0.02%,4,25.00%,0.013,0,,0
"80, 17, 45","−3,832.00 USD",−0.38%,"3,916.50 USD",0.39%,6,0.00%,0,0,,0
"80, 17, 55","−4,410.00 USD",−0.44%,"4,536.00 USD",0.45%,8,12.50%,0.087,0,,0
"80, 17, 65","−4,180.50 USD",−0.42%,"4,632.00 USD",0.46%,8,12.50%,0.085,0,,0
"80, 17, 75",−503.50 USD,−0.05%,840.50 USD,0.08%,10,20.00%,0.121,0,,0
"80, 17, 85",−538.50 USD,−0.05%,875.50 USD,0.09%,10,20.00%,0.114,0,,0
"80, 17, 95",−159.50 USD,−0.02%,888.00 USD,0.09%,11,27.27%,0.743,0,,0
"80, 17.5, 105",−579.50 USD,−0.06%,876.00 USD,0.09%,7,14.29%,0.047,0,,0
"80, 17.5, 115",−236.00 USD,−0.02%,969.50 USD,0.10%,8,25.00%,0.664,0,,0
"80, 17.5, 125","−5,122.50 USD",−0.51%,"6,808.50 USD",0.68%,7,14.29%,0.006,0,,0
"80, 17.5, 135","−5,134.00 USD",−0.51%,"6,808.50 USD",0.68%,7,14.29%,0.006,0,,0
"80, 17.5, 145","−5,134.00 USD",−0.51%,"6,808.50 USD",0.68%,7,14.29%,0.006,0,,0
"80, 17.5, 25",−25.50 USD,0.00%,53.00 USD,0.01%,1,0.00%,0,0,,0
"80, 17.5, 35",−74.50 USD,−0.01%,102.00 USD,0.01%,2,0.00%,0,0,,0
"80, 17.5, 45",−7.00 USD,0.00%,60.50 USD,0.01%,2,50.00%,0.788,0,,0
"80, 17.5, 55",−228.50 USD,−0.02%,354.00 USD,0.04%,3,33.33%,0.102,0,,0
"80, 17.5, 65",−311.50 USD,−0.03%,437.00 USD,0.04%,4,25.00%,0.077,0,,0
"80, 17.5, 75",−378.00 USD,−0.04%,477.50 USD,0.05%,4,0.00%,0,0,,0
"80, 17.5, 85",−500.50 USD,−0.05%,600.00 USD,0.06%,5,0.00%,0,0,,0
"80, 17.5, 95",−567.50 USD,−0.06%,864.00 USD,0.09%,7,14.29%,0.048,0,,0
"80, 18, 105",−468.50 USD,−0.05%,504.00 USD,0.05%,5,20.00%,0.012,0,,0
"80, 18, 115","−3,058.50 USD",−0.31%,"6,648.50 USD",0.66%,5,20.00%,0.346,0,,0
"80, 18, 125","−3,280.00 USD",−0.33%,"6,648.50 USD",0.66%,6,16.67%,0.331,0,,0
"80, 18, 135","−3,335.00 USD",−0.33%,"6,648.50 USD",0.66%,7,14.29%,0.327,0,,0
"80, 18, 145","−3,588.50 USD",−0.36%,"6,648.50 USD",0.66%,8,25.00%,0.298,0,,0
"80, 18, 25","+1,270.00 USD",+0.13%,626.50 USD,0.06%,5,20.00%,4.557,0,,0
"80, 18, 35",−374.50 USD,−0.04%,410.00 USD,0.04%,5,20.00%,0.014,0,,0
"80, 18, 45",−374.50 USD,−0.04%,410.00 USD,0.04%,5,20.00%,0.014,0,,0
"80, 18, 55",−400.00 USD,−0.04%,435.50 USD,0.04%,5,20.00%,0.014,0,,0
"80, 18, 65",−497.50 USD,−0.05%,533.00 USD,0.05%,5,20.00%,0.011,0,,0
"80, 18, 75",−497.50 USD,−0.05%,533.00 USD,0.05%,5,20.00%,0.011,0,,0
"80, 18, 85",−497.50 USD,−0.05%,533.00 USD,0.05%,5,20.00%,0.011,0,,0
"80, 18, 95",−523.50 USD,−0.05%,559.00 USD,0.06%,5,20.00%,0.01,0,,0
"80, 18.5, 105","−2,844.50 USD",−0.28%,"4,358.50 USD",0.44%,5,40.00%,4.34,0,,0
"80, 18.5, 115","−3,055.00 USD",−0.30%,"4,436.50 USD",0.44%,4,50.00%,3.59,0,,0
"80, 18.5, 125","−2,723.50 USD",−0.27%,"4,444.50 USD",0.44%,4,50.00%,3.59,0,,0
"80, 18.5, 135","−2,710.50 USD",−0.27%,"4,444.50 USD",0.44%,4,50.00%,3.59,0,,0
"80, 18.5, 145","−2,793.50 USD",−0.28%,"4,444.50 USD",0.44%,4,50.00%,3.59,0,,0
"80, 18.5, 25",−613.00 USD,−0.06%,"2,942.50 USD",0.29%,2,50.00%,43.284,0,,0
"80, 18.5, 35",−500.50 USD,−0.05%,"2,942.50 USD",0.29%,2,50.00%,43.284,0,,0
"80, 18.5, 45","−1,670.50 USD",−0.17%,"3,411.00 USD",0.34%,3,33.33%,16.528,0,,0
"80, 18.5, 55","−2,207.50 USD",−0.22%,"3,885.50 USD",0.39%,3,33.33%,14.723,0,,0
"80, 18.5, 65","−1,889.50 USD",−0.19%,"3,970.00 USD",0.40%,3,33.33%,12.338,0,,0
"80, 18.5, 75","−1,909.00 USD",−0.19%,"3,970.00 USD",0.40%,5,40.00%,5.318,0,,0
"80, 18.5, 85","−2,195.50 USD",−0.22%,"3,970.00 USD",0.40%,5,40.00%,4.937,0,,0
"80, 18.5, 95","−2,725.50 USD",−0.27%,"4,196.00 USD",0.42%,5,40.00%,4.34,0,,0
"80, 19, 105",−906.50 USD,−0.09%,911.00 USD,0.09%,6,16.67%,0.158,0,,0
"80, 19, 115",−628.00 USD,−0.06%,802.50 USD,0.08%,4,25.00%,0.213,0,,0
"80, 19, 125","+1,384.50 USD",+0.14%,851.00 USD,0.08%,5,20.00%,2.468,0,,0
"80, 19, 135",+895.00 USD,+0.09%,"1,093.50 USD",0.11%,7,14.29%,1.625,0,,0
"80, 19, 145",+895.00 USD,+0.09%,"1,093.50 USD",0.11%,7,14.29%,1.625,0,,0
"80, 19, 25","+1,970.50 USD",+0.20%,595.00 USD,0.06%,4,25.00%,7.525,0,,0
"80, 19, 35","+1,706.50 USD",+0.17%,659.00 USD,0.07%,5,20.00%,3.157,0,,0
"80, 19, 45","+1,669.00 USD",+0.17%,659.00 USD,0.07%,5,20.00%,3.014,0,,0
"80, 19, 55",−715.00 USD,−0.07%,719.50 USD,0.07%,5,20.00%,0.192,0,,0
"80, 19, 65",−715.00 USD,−0.07%,719.50 USD,0.07%,5,20.00%,0.192,0,,0
"80, 19, 75",−870.50 USD,−0.09%,875.00 USD,0.09%,6,16.67%,0.163,0,,0
"80, 19, 85",−883.50 USD,−0.09%,888.00 USD,0.09%,6,16.67%,0.161,0,,0
"80, 19, 95",−906.50 USD,−0.09%,911.00 USD,0.09%,6,16.67%,0.158,0,,0
"80, 19.5, 105",+18.50 USD,+0.00%,"1,484.50 USD",0.15%,8,25.00%,1.011,0,,0
"80, 19.5, 115",−72.50 USD,−0.01%,"1,581.50 USD",0.16%,7,14.29%,0.96,0,,0
"80, 19.5, 125",−72.50 USD,−0.01%,"1,581.50 USD",0.16%,7,14.29%,0.96,0,,0
"80, 19.5, 135",−72.50 USD,−0.01%,"1,581.50 USD",0.16%,7,14.29%,0.96,0,,0
"80, 19.5, 145",−72.50 USD,−0.01%,"1,581.50 USD",0.16%,7,14.29%,0.96,0,,0
"80, 19.5, 25",+91.00 USD,+0.01%,"2,761.50 USD",0.28%,3,66.67%,10.1,0,,0
"80, 19.5, 35",+70.00 USD,+0.01%,"2,761.50 USD",0.28%,3,66.67%,8,0,,0
"80, 19.5, 45",+70.00 USD,+0.01%,"2,761.50 USD",0.28%,3,66.67%,8,0,,0
"80, 19.5, 55",−516.00 USD,−0.05%,"2,761.50 USD",0.28%,5,40.00%,0.134,0,,0
"80, 19.5, 65",−516.00 USD,−0.05%,"2,761.50 USD",0.28%,5,40.00%,0.134,0,,0
"80, 19.5, 75",−791.00 USD,−0.08%,"2,999.00 USD",0.30%,6,33.33%,0.051,0,,0
"80, 19.5, 85",−801.00 USD,−0.08%,"2,999.00 USD",0.30%,6,33.33%,0.039,0,,0
"80, 19.5, 95","−1,928.00 USD",−0.19%,"1,932.50 USD",0.19%,6,16.67%,0.012,0,,0
"80, 20, 105",−820.00 USD,−0.08%,955.00 USD,0.10%,7,42.86%,0.137,0,,0
"80, 20, 115",−848.00 USD,−0.08%,852.50 USD,0.09%,3,0.00%,0,0,,0
"80, 20, 125","−1,085.50 USD",−0.11%,"1,090.00 USD",0.11%,4,0.00%,0,0,,0
"80, 20, 135","−1,085.50 USD",−0.11%,"1,090.00 USD",0.11%,4,0.00%,0,0,,0
"80, 20, 145","−1,229.00 USD",−0.12%,"1,233.50 USD",0.12%,4,0.00%,0,0,,0
"80, 20, 25",−223.50 USD,−0.02%,277.50 USD,0.03%,2,50.00%,0.11,0,,0
"80, 20, 35",−223.50 USD,−0.02%,277.50 USD,0.03%,2,50.00%,0.11,0,,0
"80, 20, 45",−525.00 USD,−0.05%,659.50 USD,0.07%,4,50.00%,0.168,0,,0
"80, 20, 55",−525.00 USD,−0.05%,659.50 USD,0.07%,4,50.00%,0.168,0,,0
"80, 20, 65",−597.50 USD,−0.06%,711.00 USD,0.07%,4,50.00%,0.125,0,,0
"80, 20, 75",−514.50 USD,−0.05%,711.00 USD,0.07%,5,60.00%,0.246,0,,0
"80, 20, 85",−514.50 USD,−0.05%,711.00 USD,0.07%,5,60.00%,0.246,0,,0
"80, 20, 95",−782.50 USD,−0.08%,955.00 USD,0.10%,7,42.86%,0.177,0,,0
"80, 3, 105","+5,246.00 USD",+0.52%,"4,036.50 USD",0.40%,184,32.07%,1.354,0,,0
"80, 3, 115","+3,215.50 USD",+0.32%,"5,105.00 USD",0.51%,192,30.73%,1.192,0,,0
"80, 3, 125","+2,541.00 USD",+0.25%,"4,866.00 USD",0.48%,144,27.08%,1.186,0,,0
"80, 3, 135","+2,979.00 USD",+0.30%,"4,352.00 USD",0.43%,146,28.77%,1.21,0,,0
"80, 3, 145","+3,503.00 USD",+0.35%,"4,193.00 USD",0.42%,150,29.33%,1.234,0,,0
